Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201297GE02901,257440,663140,-4.278184,55.840394,97,2,1,2,25-Jan-12,4,17:00:00,926,S12000043,6,0,6,30,3,4,6,0,0,4,4,5,2,0,0,1,1,
201297GE02908,258620,664210,-4.259914,55.850348,97,3,2,1,12-Aug-12,1,01:15:00,926,S12000043,3,77,6,30,0,-1,-1,0,0,0,4,9,1,0,0,1,2,
201297GE02910,257640,663700,-4.275287,55.845481,97,3,3,1,18-Oct-12,5,07:15:00,926,S12000043,6,0,6,30,3,2,6,0,0,5,1,2,2,0,0,1,1,
201297GE03001,258220,662500,-4.265405,55.834878,97,3,1,1,24-Jan-12,3,17:25:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,1,9,2,0,0,1,2,
201297GE03008,257720,663400,-4.273853,55.842811,97,3,2,1,19-Aug-12,1,20:40:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,4,2,2,0,6,1,2,
201297GE03103,258100,662950,-4.267554,55.838883,97,3,1,1,27-Mar-12,3,14:00:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,1,1,1,4,0,1,1,
201297GE03201,257450,664630,-4.278807,55.853775,97,3,2,1,09-Jan-12,2,14:00:00,926,S12000043,3,8,3,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,
201297GE03203,259270,662060,-4.248425,55.831235,97,3,3,1,26-Mar-12,2,16:55:00,926,S12000043,3,728,6,30,0,-1,-1,0,0,5,1,1,1,0,0,1,1,
201297GE03208,258520,663770,-4.261281,55.846369,97,3,2,1,25-Aug-12,7,16:30:00,926,S12000043,3,77,6,30,6,2,6,0,0,0,1,2,2,0,0,1,1,
201297GE03402,258730,664630,-4.258377,55.854151,97,2,1,1,10-Feb-12,6,17:30:00,926,S12000043,3,77,2,30,6,2,6,0,0,5,1,1,1,0,0,1,1,
201297GE03406,257990,662750,-4.269205,55.837055,97,3,2,1,15-Jun-12,6,16:40:00,926,S12000043,3,77,2,30,6,2,6,0,0,4,1,4,2,0,0,1,2,
201297GE03501,257960,662720,-4.269668,55.836777,97,3,2,1,27-Jan-12,6,17:45:00,926,S12000043,3,77,9,30,0,-1,-1,0,0,0,4,1,1,0,0,1,2,
201297GE03603,257990,662750,-4.269205,55.837055,97,3,2,1,19-Mar-12,2,08:20:00,926,S12000043,3,77,3,30,6,2,6,0,0,5,1,1,1,0,0,1,2,
201297GE03801,258430,663390,-4.262519,55.842931,97,3,1,1,27-Jan-12,6,17:25:00,926,S12000043,6,0,2,30,0,-1,-1,0,0,0,4,1,1,0,0,1,2,
201297GE04001,259260,662020,-4.248564,55.830873,97,2,2,1,13-Jan-12,6,08:45:00,926,S12000043,3,728,3,30,9,2,6,0,0,5,1,1,1,0,0,1,2,
201297GE70103,258810,663090,-4.256299,55.840348,97,1,1,2,31-Mar-12,7,08:01:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,
201297GE70106,258510,663770,-4.26144,55.846366,97,3,2,1,25-Jun-12,2,08:45:00,926,S12000043,3,77,3,30,6,2,6,0,0,0,1,1,1,0,0,1,1,
201297GE70108,259590,662570,-4.243585,55.835907,97,3,4,1,03-Aug-12,6,07:50:00,926,S12000043,4,763,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,
201297GE70310,260000,662580,-4.237049,55.836116,97,3,3,1,11-Oct-12,5,07:50:00,926,S12000043,1,74,3,50,0,-1,-1,0,0,0,1,1,1,0,0,1,1,
